[
((0, 0, 0), (6.123233995736766e-17, 0.0, 1.0), 0.95),
((6.123233995736766e-17, 0.0, 1.0), (1.2246467991473532e-16, 0.0, 2.0), 0.95),
((1.2246467991473532e-16, 0.0, 2.0), (1.8369701987210297e-16, 0.0, 3.0), 0.9025),
((1.8369701987210297e-16, 0.0, 3.0), (2.4492935982947064e-16, 0.0, 4.0), 0.9025),
((2.4492935982947064e-16, 0.0, 4.0), (3.061616997868383e-16, 0.0, 5.0), 0.8573749999999999),
((3.061616997868383e-16, 0.0, 5.0), (3.67394039744206e-16, 0.0, 6.0), 0.8573749999999999),
((3.67394039744206e-16, 0.0, 6.0), (4.2862637970157366e-16, 0.0, 7.0), 0.8145062499999999),
((4.2862637970157366e-16, 0.0, 7.0), (4.898587196589413e-16, 0.0, 8.0), 0.8145062499999999),
((4.898587196589413e-16, 0.0, 8.0), (5.51091059616309e-16, 0.0, 9.0), 0.7737809374999999),
((5.51091059616309e-16, 0.0, 9.0), (6.123233995736766e-16, 0.0, 10.0), 0.7737809374999999),
((6.123233995736766e-16, 0.0, 10.0), (6.714692981426101e-16, 0.25881904510252074, 10.965925826289068), 0.6634204312890623),
((6.714692981426101e-16, 0.25881904510252074, 10.965925826289068), (7.306151967115436e-16, 0.5176380902050415, 11.931851652578136), 0.6634204312890623),
((7.306151967115436e-16, 0.5176380902050415, 11.931851652578136), (7.897610952804771e-16, 0.7764571353075622, 12.897777478867203), 0.6302494097246091),
((7.897610952804771e-16, 0.7764571353075622, 12.897777478867203), (8.489069938494105e-16, 1.035276180410083, 13.863703305156271), 0.6302494097246091),
((8.489069938494105e-16, 1.035276180410083, 13.863703305156271), (0.018755529326277248, 1.3409354892144607, 14.815659510588496), 0.5133420832795047),
((0.018755529326277248, 1.3409354892144607, 14.815659510588496), (0.03751105865255365, 1.6465947980188385, 15.767615716020721), 0.5133420832795047),
((0.03751105865255365, 1.6465947980188385, 15.767615716020721), (0.07497070970290393, 1.9982565796057585, 16.70299305480668), 0.46329123015975293),
((0.07497070970290393, 1.9982565796057585, 16.70299305480668), (0.1124303607532542, 2.3499183611926786, 17.638370393592638), 0.46329123015975293),
((0.1124303607532542, 2.3499183611926786, 17.638370393592638), (0.16849145922793776, 2.7466187350625217, 18.554605061463995), 0.41812033521917696),
((0.16849145922793776, 2.7466187350625217, 18.554605061463995), (0.2245525577026213, 3.143319108932365, 19.470839729335353), 0.41812033521917696),
((0.2245525577026213, 3.143319108932365, 19.470839729335353), (0.2990614440274782, 3.583970746934659, 20.365420390754167), 0.37735360253530714),
((0.2990614440274782, 3.583970746934659, 20.365420390754167), (0.3735703303523351, 4.0246223849369525, 21.26000105217298), 0.37735360253530714),
((0.3735703303523351, 4.0246223849369525, 21.26000105217298), (0.46632278084899814, 4.508017491561253, 22.130475723727844), 0.34056162628811465),
